"03f916dd-829c-4e6c-bf2e-c0387967b4bd","{\"actions\":[],\"activities\":{},\"meta\":{},\"events\":[],\"value\":\"Definiëren\",\"_event\":{\"name\":\"Definiëren\",\"data\":{\"type\":\"Definiëren\",\"parentID\":\"\",\"agentInfo\":{\"userID\":\"b85abefb-46ef-4bc5-aeda-d92c34b41875\",\"email\":\"admin@alkem.io\",\"emailVerified\":true,\"firstName\":\"admin\",\"lastName\":\"alkemio\",\"credentials\":\"\",\"verifiedCredentials\":\"\",\"communicationID\":\"@admin=alkem.io:alkemio.matrix.host\",\"agentID\":\"d7048e28-3cf7-402a-a2cd-b45bd92ed48d\"},\"authorization\":\"\"},\"$$type\":\"scxml\",\"type\":\"external\"},\"_sessionid\":\"x:7\",\"event\":\"\",\"historyValue\":{\"current\":\"Definiëren\",\"states\":{}},\"history\":{\"actions\":[],\"activities\":{},\"meta\":{},\"events\":[],\"value\":\"Opp\",\"_event\":{\"name\":\"xstate.init\",\"data\":{\"type\":\"xstate.init\"},\"$$type\":\"scxml\",\"type\":\"external\"},\"_sessionid\":\"x:7\",\"event\":{\"type\":\"xstate.init\"},\"children\":{},\"done\":false,\"tags\":[]},\"children\":{},\"done\":false,\"changed\":true,\"tags\":[]}","{\"id\":\"Opp\",\"initial\":\"Opp\",\"states\":{\"Opp\":{\"on\":{\"Definiëren\":{\"target\":\"Definiëren\"}}},\"Definiëren\":{\"on\":{\"Specificeren\":{\"target\":\"Specificeren\"},\"Parkeren\":{\"target\":\"Parkeren\"}}},\"Specificeren\":{\"on\":{\"Ontwikkelen\":{\"target\":\"Ontwikkelen\"}}},\"Ontwikkelen\":{\"on\":{\"gebruiken\":{\"target\":\"Gebruiken\"},\"Parkeren\":{\"target\":\"Parkeren\"}}},\"Gebruiken\":{\"on\":{\"Parkeren\":{\"target\":\"Parkeren\"}}},\"Parkeren\":{\"on\":{\"Definiëren\":{\"target\":\"Definiëren\"}}}}}"
"1a12e123-0a4d-4674-a2f6-fc3fc2b15348",\N,"{\"id\":\"user-invitation\",\"context\":{\"parentID\":\"91aeb525-378f-44cd-b363-f648e6c2297b\"},\"initial\":\"invited\",\"states\":{\"invited\":{\"on\":{\"ACCEPT\":{\"target\":\"accepted\",\"cond\":\"communityInvitationAcceptAuthorized\"},\"REJECT\":{\"target\":\"rejected\",\"cond\":\"communityUpdateAuthorized\"}}},\"accepted\":{\"type\":\"final\",\"entry\":[\"communityAddMember\"],\"data\":{}},\"rejected\":{\"on\":{\"REINVITE\":{\"target\":\"invited\",\"cond\":\"communityUpdateAuthorized\"},\"ARCHIVE\":{\"target\":\"archived\",\"cond\":\"communityUpdateAuthorized\"}}},\"archived\":{\"type\":\"final\"}}}"
"1a9d6de9-4f95-4f0d-be8a-d642918f3bac",\N,"{\"id\":\"organization-verification\",\"context\":{\"parentID\":\"447d094e-ec4f-4eb1-b44a-11ccd300691f\"},\"initial\":\"notVerified\",\"states\":{\"notVerified\":{\"on\":{\"VERIFICATION_REQUEST\":{\"target\":\"verificationPending\",\"cond\":\"organizationVerificationUpdateAuthorized\"}}},\"verificationPending\":{\"on\":{\"MANUALLY_VERIFY\":{\"target\":\"manuallyVerified\",\"cond\":\"organizationVerificationGrantAuthorized\"},\"REJECT\":\"rejected\"}},\"manuallyVerified\":{\"entry\":[\"organizationManuallyVerified\"],\"data\":{},\"on\":{\"RESET\":{\"target\":\"notVerified\",\"cond\":\"organizationVerificationGrantAuthorized\"}}},\"rejected\":{\"on\":{\"REOPEN\":\"notVerified\",\"ARCHIVE\":\"archived\"}},\"archived\":{\"type\":\"final\"}}}"
"1d6d1ed1-e9a5-4049-82d5-68add77d77b6",\N,"{\"id\":\"whiteboard-checkout\",\"context\":{\"parentID\":\"d40d6cef-f459-4c61-87fa-bdd9c09b1106\"},\"initial\":\"available\",\"states\":{\"available\":{\"entry\":[\"availableEntry\"],\"on\":{\"CHECKOUT\":{\"cond\":\"WhiteboardCheckoutAuthorized\",\"target\":\"checkedOut\",\"actions\":[\"lockedTransition\",\"checkout\"]}},\"exit\":[\"availableExit\"]},\"checkedOut\":{\"entry\":[\"lockedEntry\"],\"on\":{\"CHECKIN\":{\"cond\":\"WhiteboardCheckinAuthorized\",\"target\":\"available\",\"actions\":[\"availableTransition\",\"checkin\"]}},\"exit\":[\"lockedExit\"]}}}"
"211b9c26-0993-428e-8f68-b82a1d7abfef",\N,"{\"id\":\"whiteboard-checkout\",\"context\":{\"parentID\":\"8c7fddfa-e42e-41b3-a7af-bcb3e9fbb920\"},\"initial\":\"available\",\"states\":{\"available\":{\"entry\":[\"availableEntry\"],\"on\":{\"CHECKOUT\":{\"cond\":\"WhiteboardCheckoutAuthorized\",\"target\":\"checkedOut\",\"actions\":[\"lockedTransition\",\"checkout\"]}},\"exit\":[\"availableExit\"]},\"checkedOut\":{\"entry\":[\"lockedEntry\"],\"on\":{\"CHECKIN\":{\"cond\":\"WhiteboardCheckinAuthorized\",\"target\":\"available\",\"actions\":[\"availableTransition\",\"checkin\"]}},\"exit\":[\"lockedExit\"]}}}"
"2eae7be5-d8ad-461d-bd30-e85b2877edc7",\N,"{\"id\":\"whiteboard-checkout\",\"context\":{\"parentID\":\"de44bc5d-6300-4a99-ad17-e2c9d7d1245c\"},\"initial\":\"available\",\"states\":{\"available\":{\"entry\":[\"availableEntry\"],\"on\":{\"CHECKOUT\":{\"cond\":\"WhiteboardCheckoutAuthorized\",\"target\":\"checkedOut\",\"actions\":[\"lockedTransition\",\"checkout\"]}},\"exit\":[\"availableExit\"]},\"checkedOut\":{\"entry\":[\"lockedEntry\"],\"on\":{\"CHECKIN\":{\"cond\":\"WhiteboardCheckinAuthorized\",\"target\":\"available\",\"actions\":[\"availableTransition\",\"checkin\"]}},\"exit\":[\"lockedExit\"]}}}"
"37d51a67-3c83-43cb-8a36-a4116ad405bb",\N,"{\"id\":\"whiteboard-checkout\",\"context\":{\"parentID\":\"ec929d29-641d-4968-be62-1933e56e4c20\"},\"initial\":\"available\",\"states\":{\"available\":{\"entry\":[\"availableEntry\"],\"on\":{\"CHECKOUT\":{\"cond\":\"WhiteboardCheckoutAuthorized\",\"target\":\"checkedOut\",\"actions\":[\"lockedTransition\",\"checkout\"]}},\"exit\":[\"availableExit\"]},\"checkedOut\":{\"entry\":[\"lockedEntry\"],\"on\":{\"CHECKIN\":{\"cond\":\"WhiteboardCheckinAuthorized\",\"target\":\"available\",\"actions\":[\"availableTransition\",\"checkin\"]}},\"exit\":[\"lockedExit\"]}}}"
"3c69fbee-e483-46a2-ba6a-9b808a4b0029",\N,"{\"id\":\"user-application\",\"context\":{\"parentID\":\"829eb985-ccb5-4fa6-9b00-623675350183\"},\"initial\":\"new\",\"states\":{\"new\":{\"on\":{\"APPROVE\":{\"target\":\"approved\",\"cond\":\"communityUpdateAuthorized\"},\"REJECT\":\"rejected\"}},\"approved\":{\"type\":\"final\",\"entry\":[\"communityAddMember\"],\"data\":{}},\"rejected\":{\"on\":{\"REOPEN\":\"new\",\"ARCHIVE\":\"archived\"}},\"archived\":{\"type\":\"final\"}}}"
"3d2065e4-bae4-413b-a4c9-a43c6406f1ce",\N,"{\"id\":\"whiteboard-checkout\",\"context\":{\"parentID\":\"607138c5-4297-4777-8022-36d2726903c6\"},\"initial\":\"available\",\"states\":{\"available\":{\"entry\":[\"availableEntry\"],\"on\":{\"CHECKOUT\":{\"cond\":\"WhiteboardCheckoutAuthorized\",\"target\":\"checkedOut\",\"actions\":[\"lockedTransition\",\"checkout\"]}},\"exit\":[\"availableExit\"]},\"checkedOut\":{\"entry\":[\"lockedEntry\"],\"on\":{\"CHECKIN\":{\"cond\":\"WhiteboardCheckinAuthorized\",\"target\":\"available\",\"actions\":[\"availableTransition\",\"checkin\"]}},\"exit\":[\"lockedExit\"]}}}"
"3d48ff3d-096b-427b-842c-2feb8275b02e","{\"actions\":[],\"activities\":{},\"meta\":{},\"events\":[],\"value\":\"Voorbereiden\",\"_event\":{\"name\":\"Event\",\"data\":{\"type\":\"Event\",\"parentID\":\"\",\"agentInfo\":{\"userID\":\"b85abefb-46ef-4bc5-aeda-d92c34b41875\",\"email\":\"admin@alkem.io\",\"emailVerified\":true,\"firstName\":\"admin\",\"lastName\":\"alkemio\",\"credentials\":\"\",\"verifiedCredentials\":\"\",\"communicationID\":\"@admin=alkem.io:alkemio.matrix.host\",\"agentID\":\"d7048e28-3cf7-402a-a2cd-b45bd92ed48d\"},\"authorization\":\"\"},\"$$type\":\"scxml\",\"type\":\"external\"},\"_sessionid\":\"x:4\",\"event\":\"\",\"historyValue\":{\"current\":\"Voorbereiden\",\"states\":{}},\"history\":{\"actions\":[],\"activities\":{},\"meta\":{},\"events\":[],\"value\":\"Exploreren\",\"_event\":{\"name\":\"xstate.init\",\"data\":{\"type\":\"xstate.init\"},\"$$type\":\"scxml\",\"type\":\"external\"},\"_sessionid\":\"x:4\",\"event\":{\"type\":\"xstate.init\"},\"children\":{},\"done\":false,\"tags\":[]},\"children\":{},\"done\":false,\"changed\":true,\"tags\":[]}","{\"id\":\"NewMachine\",\"initial\":\"Exploreren\",\"states\":{\"Exploreren\":{\"on\":{\"Event\":{\"target\":\"Voorbereiden\"}}},\"Voorbereiden\":{\"on\":{\"Event2\":{\"target\":\"BegrijpenenOntwerpen\"}}},\"BegrijpenenOntwerpen\":{\"on\":{\"Event2\":{\"target\":\"Valideren\"}}},\"Valideren\":{\"on\":{\"Event2\":{\"target\":\"Implementeren\"}}},\"Implementeren\":{\"on\":{\"Event2\":{\"target\":\"Afronden\"}}},\"Afronden\":{}}}"
"47466587-3966-4269-829c-f9867183c0ef",\N,"{\"id\":\"whiteboard-checkout\",\"context\":{\"parentID\":\"2549cede-76b5-4492-809a-bdc90d09c57e\"},\"initial\":\"available\",\"states\":{\"available\":{\"entry\":[\"availableEntry\"],\"on\":{\"CHECKOUT\":{\"cond\":\"WhiteboardCheckoutAuthorized\",\"target\":\"checkedOut\",\"actions\":[\"lockedTransition\",\"checkout\"]}},\"exit\":[\"availableExit\"]},\"checkedOut\":{\"entry\":[\"lockedEntry\"],\"on\":{\"CHECKIN\":{\"cond\":\"WhiteboardCheckinAuthorized\",\"target\":\"available\",\"actions\":[\"availableTransition\",\"checkin\"]}},\"exit\":[\"lockedExit\"]}}}"
