Notification Event Type,Notification Payload Type,receiverID,spaceID,organizationID,userID,applicationID,invitationID,calloutID,contributionID,messageID,roomID
PLATFORM_FORUM_DISCUSSION_CREATED,PLATFORM_FORUM_DISCUSSION,✓,-,-,-,-,-,-,-,-,✓
PLATFORM_FORUM_DISCUSSION_COMMENT,PLATFORM_FORUM_DISCUSSION,✓,-,-,-,-,-,-,-,✓,✓
PLATFORM_ADMIN_USER_PROFILE_REMOVED,PLATFORM_USER_PROFILE_REMOVED,✓,-,-,-,-,-,-,-,-,-
PLATFORM_ADMIN_USER_PROFILE_CREATED,USER,✓,-,-,✓,-,-,-,-,-,-
PLATFORM_ADMIN_GLOBAL_ROLE_CHANGED,PLATFORM_GLOBAL_ROLE_CHANGE,✓,-,-,✓,-,-,-,-,-,-
PLATFORM_ADMIN_SPACE_CREATED,SPACE,✓,✓,-,-,-,-,-,-,-,-
ORGANIZATION_ADMIN_MESSAGE,ORGANIZATION_MESSAGE_DIRECT,✓,-,✓,-,-,-,-,-,-,-
ORGANIZATION_MESSAGE_SENDER,ORGANIZATION_MESSAGE_DIRECT,✓,-,✓,-,-,-,-,-,-,-
ORGANIZATION_ADMIN_MENTIONED,ORGANIZATION_MESSAGE_ROOM,✓,-,✓,-,-,-,-,-,-,-
SPACE_ADMIN_COMMUNITY_APPLICATION,SPACE_COMMUNITY_APPLICATION,✓,✓,-,-,✓,-,-,-,-,-
SPACE_ADMIN_COMMUNITY_NEW_MEMBER,SPACE_COMMUNITY_CONTRIBUTOR,✓,✓,-,-,-,-,-,-,-,-
SPACE_ADMIN_COLLABORATION_CALLOUT_CONTRIBUTION,SPACE_COLLABORATION_CALLOUT,✓,✓,-,-,-,-,✓,✓,-,-
SPACE_LEAD_COMMUNICATION_MESSAGE,SPACE_COMMUNICATION_MESSAGE_DIRECT,✓,✓,-,-,-,-,-,-,-,-
SPACE_COMMUNICATION_UPDATE,SPACE_COMMUNICATION_UPDATE,✓,✓,-,-,-,-,-,-,-,-
SPACE_COLLABORATION_CALLOUT_PUBLISHED,SPACE_COLLABORATION_CALLOUT,✓,✓,-,-,-,-,✓,-,-,-
SPACE_COLLABORATION_CALLOUT_CONTRIBUTION,SPACE_COLLABORATION_CALLOUT,✓,✓,-,-,-,-,✓,✓,-,-
SPACE_COLLABORATION_CALLOUT_COMMENT,SPACE_COLLABORATION_CALLOUT_COMMENT,✓,✓,-,-,-,-,✓,✓,✓,✓
SPACE_COLLABORATION_CALLOUT_POST_CONTRIBUTION_COMMENT,SPACE_COLLABORATION_CALLOUT_POST_COMMENT,✓,✓,-,-,-,-,✓,✓,✓,✓
SPACE_COMMUNITY_INVITATION_USER_PLATFORM,SPACE_COMMUNITY_INVITATION_USER_PLATFORM,✓,✓,-,-,-,✓,-,-,-,-
USER_SIGN_UP_WELCOME,USER,✓,-,-,✓,-,-,-,-,-,-
USER_SPACE_COMMUNITY_INVITATION,SPACE_COMMUNITY_INVITATION,✓,✓,-,-,-,✓,-,-,-,-
USER_SPACE_COMMUNITY_JOINED,SPACE_COMMUNITY_CONTRIBUTOR,✓,✓,-,-,-,-,-,-,-,-
USER_MESSAGE,USER_MESSAGE_DIRECT,✓,-,-,✓,-,-,-,-,-,-
USER_MESSAGE_SENDER,USER_MESSAGE_DIRECT,✓,-,-,✓,-,-,-,-,-,-
USER_COMMENT_REPLY,USER_MESSAGE_ROOM,✓,-,-,✓,-,-,-,-,✓,✓
VIRTUAL_CONTRIBUTOR_ADMIN_SPACE_COMMUNITY_INVITATION,VIRTUAL_CONTRIBUTOR,✓,✓,-,-,-,-,-,✓,-,-
